term_id,L,S,term_lower_id,Ll,transition_id,J,Jʹ,K,Q,Jl,Jʹl,Kl,Ql,Kr,Qr,coefficient
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,4743045205.433331
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,-1.0,1.0,-1.0,-4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,0.0,1.0,0.0,-4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,1.0,-4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,2.0,2.0,-2.0,2.0,-2.0,4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,2.0,2.0,-1.0,2.0,-1.0,4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,2.0,2.0,0.0,2.0,0.0,4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,2.0,2.0,1.0,2.0,1.0,4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,0.0,2.0,2.0,2.0,2.0,2.0,4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,4743045205.43333
3s3_L=0.0_S=1.0,0,1,2p3_L=1.0_S=1.0,1,3s3_L=0.0_S=1.0->2p3_L=1.0_S=1.0,1.0,1.0,0.0,-0.0,1.0,0.0,1.0,0.0,1.0,0.0,4743045205.43333
